128 0 0 0.0 0.0 28.31 0.011334 0.1974495 1.1157497 -1.2682733 0.8516775 0.1026023 0.1091879 0.0 66.0604746 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 28.82 0.0143941 0.1179157 1.4649149 -0.2573728 0.2598927 0.0320355 0.0282298 0.0 86.7650344 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 29.02 0.0110005 0.0927278 1.5756399 0.1445202 0.1695966 0.009869 0.0051152 0.0 90.200228 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 29.31 0.0130079 0.0964953 1.6737096 0.1803583 0.1033719 0.0076522 0.0031868 0.0 90.0080366 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 30.42 0.0083117 0.0842905 1.5830934 0.4301076 0.2169392 0.0048732 0.0019978 0.0 90.8222325 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 29.11 0.009115 0.0926145 1.6817552 0.0899897 0.0791658 0.0057968 0.0045289 0.0 91.1810082 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 29.83 0.0099251 0.0778586 1.5892596 0.1067457 0.059538 0.0063964 0.003085 0.0 92.6572246 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 34.27 0.0103627 0.0754554 1.500782 0.1054896 0.0353503 0.0047878 0.00177 0.0 92.3552992 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 38.67 0.0101023 0.0760322 1.4735043 0.0883204 0.046664 0.0060412 0.0017444 0.0 92.5739619 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 39.02 0.0076169 0.0819024 1.532259 0.112907 0.0406139 0.0050636 0.0033041 0.0 92.0368391 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 37.77 0.0070704 0.0751193 1.3941938 0.0449381 0.0271621 0.0050569 0.0025175 0.0 93.1319549 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 2 2 0.0 0.0 38.44 0.0067009 0.0733933 1.3922832 0.0477413 0.0243361 0.0037676 0.0016377 0.0 92.8090305 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 2 2 0.0 0.0 39.54 0.0066292 0.0696198 1.3464478 0.012529 0.0259236 0.0036249 0.0015294 0.0 93.1689805 0.0  {'room_id': 0, 'explored_rooms': 2, 'raw_score': 0.0} 
1792 3 3 20.0 0.2 46.49 0.0064174 0.0631832 1.3734062 0.078699 0.0175875 0.0032307 0.0014442 0.0 94.2442688 0.0  {'room_id': 0, 'explored_rooms': 2, 'raw_score': 20.0} 
1920 3 3 20.0 0.2 48.72 0.0054393 0.0735993 1.449683 0.0420964 0.0123803 0.0029026 0.00165 0.0 93.1762118 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 20.0} 
2048 3 3 20.0 0.2 49.97 0.0054185 0.0702 1.4145166 0.0203286 0.0145404 0.0029127 0.0019388 0.0 93.5501768 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 20.0} 
2176 3 3 20.0 0.2 50.41 0.0051436 0.065535 1.4044517 -0.0003524 0.0147756 0.0029896 0.0013695 0.0 94.0724761 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 20.0} 
2304 3 3 20.0 0.2 51.69 0.0056673 0.0661427 1.4446274 0.0079889 0.0144697 0.0028976 0.0027153 0.0 93.7517631 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 20.0} 
2432 3 3 20.0 0.2 50.08 0.0045642 0.0636002 1.5238964 0.0086062 0.0165095 0.0026268 0.0011915 0.0 94.1726572 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 20.0} 
2560 3 3 20.0 0.2 51.27 0.0047639 0.0695073 1.5716531 -0.0110789 0.0128554 0.0030546 0.0014466 0.0 93.7641233 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 20.0} 
2688 4 4 68.0 0.38 52.66 0.0039993 0.0664714 1.591127 0.007164 0.0124053 0.0023571 0.0012794 0.0 93.9359958 0.0  {'room_id': 0, 'explored_rooms': 2, 'raw_score': 68.0} 
2816 4 4 68.0 0.38 51.61 0.0044157 0.0656196 1.4496007 -0.0094623 0.0119079 0.0021801 0.0009696 0.0 94.5005875 0.0  {'room_id': 0, 'explored_rooms': 2, 'raw_score': 68.0} 
2944 4 4 68.0 0.38 53.45 0.0046349 0.0613627 1.525683 -0.0212174 0.0110928 0.0036991 0.0017247 0.0 94.4566294 0.0  {'room_id': 0, 'explored_rooms': 2, 'raw_score': 68.0} 
3072 4 4 68.0 0.38 53.09 0.0038952 0.0628327 1.6174086 -0.0023365 0.0123659 0.002298 0.000943 0.0 94.1521791 0.0  {'room_id': 0, 'explored_rooms': 2, 'raw_score': 68.0} 
3200 5 5 71.2 0.44200000000000006 51.25 0.0038018 0.0629599 1.6154882 -0.0304586 0.0119781 0.0028431 0.0012904 0.0 94.1236654 0.0  {'room_id': 0, 'explored_rooms': 2, 'raw_score': 71.2} 
3328 5 5 71.2 0.44200000000000006 50.8 0.0035553 0.0609992 1.6932452 -0.0009719 0.0122187 0.0017465 0.0008409 0.0 94.332196 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 71.2} 
3456 5 5 71.2 0.44200000000000006 51.26 0.0038373 0.0600922 1.7696319 -0.0045166 0.0104202 0.0017971 0.0007994 0.0 94.3728837 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 71.2} 
3584 5 5 71.2 0.44200000000000006 49.52 0.0035173 0.0594313 1.8502737 0.010054 0.0111577 0.001651 0.0006605 0.0 94.6331731 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 71.2} 
3712 5 5 71.2 0.44200000000000006 49.52 0.0038685 0.0631503 1.8424573 -0.007044 0.0101004 0.0015986 0.0009882 0.0 94.1637913 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 71.2} 
3840 5 5 71.2 0.44200000000000006 49.71 0.0033977 0.0611274 1.8569751 -0.0313363 0.0120689 0.0017454 0.0009418 0.0 94.4483334 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 71.2} 
3968 5 5 71.2 0.44200000000000006 48.45 0.0036652 0.0643597 1.8661703 -0.0214774 0.010894 0.0016735 0.0008385 0.0 94.1595745 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 71.2} 
4096 6 6 114.08 0.5978000000000001 50.18 0.0035925 0.0618188 1.957614 -0.0313028 0.0112699 0.0022499 0.0010364 0.0 94.3993651 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 114.08} 
4224 6 6 114.08 0.5978000000000001 49.16 0.0034605 0.0597155 1.9487955 -0.0364163 0.0121185 0.001864 0.0009835 0.0 94.8351835 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 114.08} 
4352 6 6 114.08 0.5978000000000001 49.1 0.0038621 0.0580961 1.9438062 -0.0310115 0.0096329 0.001563 0.000751 0.0 94.9614457 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 114.08} 
4480 6 6 114.08 0.5978000000000001 49.66 0.004187 0.0578507 1.9307848 -0.0257994 0.0086066 0.0018196 0.0009134 0.0 95.2142945 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 114.08} 
4608 7 7 102.672 0.5380200000000002 49.29 0.0038681 0.0571466 1.8511297 -0.0257025 0.0099556 0.0020351 0.0014638 0.0 95.1766939 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 102.672} 
4736 7 7 102.672 0.5380200000000002 50.18 0.0037179 0.0597804 1.9168776 -0.0441576 0.0106886 0.0018304 0.0008864 0.0 94.6481971 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 102.672} 
4864 7 7 102.672 0.5380200000000002 50.4 0.0041103 0.0582301 2.0638641 -0.0384823 0.0120591 0.0022204 0.0008972 0.0 95.2693024 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 102.672} 
4992 7 7 102.672 0.5380200000000002 50.04 0.004159 0.0582009 2.1037682 -0.0436873 0.0110066 0.0026134 0.0012027 0.0 95.1231827 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 102.672} 
5120 7 7 102.672 0.5380200000000002 50.85 0.0040687 0.0614635 2.2485336 -0.0262237 0.0111652 0.0019758 0.0009053 0.0 94.6329468 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 102.672} 
5248 8 8 117.4048 0.5842180000000001 51.78 0.003762 0.0530159 2.0290859 -0.0098267 0.0083297 0.0026881 0.0013348 0.0 95.6795227 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 117.4048} 
5376 8 8 117.4048 0.5842180000000001 50.94 0.0047267 0.0541743 2.0926301 -0.0444771 0.0144261 0.0017847 0.000935 0.0 95.4646762 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 117.4048} 
5504 8 8 117.4048 0.5842180000000001 51.23 0.0039699 0.0490589 2.3987325 -0.021754 0.0101597 0.0022729 0.0011071 0.0 96.1291662 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 117.4048} 
5632 8 8 117.4048 0.5842180000000001 50.57 0.0046281 0.0534244 2.3146042 -0.0247851 0.0112613 0.0017157 0.0009137 0.0 95.5571413 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': 117.4048} 
5760 8 8 117.4048 0.5842180000000001 50.75 0.0052381 0.0520691 2.3540864 -0.0344758 0.011275 0.0022836 0.0010799 0.0 95.7570848 0.0  {'room_id': 3, 'explored_rooms': 4, 'raw_score': 117.4048} 
5888 9 9 140.66432 0.7257962000000002 51.17 0.0054896 0.0513136 2.5459539 -0.0309996 0.0109016 0.0026145 0.0013018 0.0 96.0375275 0.0  {'room_id': 0, 'explored_rooms': 4, 'raw_score': 140.66432} 
6016 9 9 140.66432 0.7257962000000002 50.59 0.0059039 0.0518786 2.5236453 -0.0291986 0.0093654 0.002971 0.0010842 0.0 95.5729735 0.0  {'room_id': 0, 'explored_rooms': 4, 'raw_score': 140.66432} 
6144 9 9 140.66432 0.7257962000000002 51.67 0.0062827 0.0502688 2.7017366 -0.0431753 0.0106488 0.0033726 0.001697 0.0 96.2728855 0.0  {'room_id': 4, 'explored_rooms': 5, 'raw_score': 140.66432} 
6272 9 9 140.66432 0.7257962000000002 51.82 0.0067084 0.0506865 2.8751287 -0.0333977 0.0122487 0.0031368 0.0013197 0.0 95.7624561 0.0  {'room_id': 4, 'explored_rooms': 5, 'raw_score': 140.66432} 
6400 9 9 140.66432 0.7257962000000002 50.09 0.0061962 0.0532139 2.9315522 -0.0552815 0.0117277 0.0041626 0.0015304 0.0 95.4670412 0.0  {'room_id': 4, 'explored_rooms': 5, 'raw_score': 140.66432} 
6528 10 10 136.597888 0.7532165800000002 50.73 0.007805 0.0502212 3.0962693 -0.0313069 0.010237 0.003078 0.0019355 0.0 96.0889551 0.0  {'room_id': 0, 'explored_rooms': 5, 'raw_score': 136.597888} 
6656 10 10 136.597888 0.7532165800000002 49.61 0.0080274 0.0479242 3.040302 -0.0347899 0.0112821 0.0034006 0.0015141 0.0 96.3151908 0.0  {'room_id': 0, 'explored_rooms': 5, 'raw_score': 136.597888} 
6784 10 10 136.597888 0.7532165800000002 49.78 0.0077109 0.0475042 3.3571458 -0.0303266 0.010818 0.0034663 0.0021125 0.0 96.4701316 0.0  {'room_id': 2, 'explored_rooms': 5, 'raw_score': 136.597888} 
6912 10 10 136.597888 0.7532165800000002 48.34 0.008378 0.0509875 3.4116996 -0.0370389 0.0120857 0.0039487 0.0016985 0.0 95.8578872 0.0  {'room_id': 2, 'explored_rooms': 5, 'raw_score': 136.597888} 
7040 10 10 136.597888 0.7532165800000002 49.66 0.0096228 0.0510565 3.2632835 -0.0365973 0.0121873 0.0044839 0.0049957 0.0 95.871728 0.0  {'room_id': 2, 'explored_rooms': 5, 'raw_score': 136.597888} 
7168 11 11 157.9380992 0.8778949220000003 48.81 0.0086093 0.0465004 3.2674383 -0.0399761 0.0133374 0.0044414 0.0024451 0.0 96.6440876 0.0  {'room_id': 1, 'explored_rooms': 5, 'raw_score': 157.9380992} 
7296 11 11 157.9380992 0.8778949220000003 48.73 0.0107327 0.0507197 3.3738547 -0.0270674 0.0132566 0.0039319 0.0019122 0.0 95.8208891 0.0  {'room_id': 1, 'explored_rooms': 5, 'raw_score': 157.9380992} 
7424 11 11 157.9380992 0.8778949220000003 48.24 0.0106138 0.0491398 3.0800096 -0.0363255 0.013018 0.0050531 0.0021016 0.0 95.8082916 0.0  {'room_id': 1, 'explored_rooms': 5, 'raw_score': 157.9380992} 
