128 0 0 0.0 0.0 9.74 0.0494876 0.0570104 0.9186049 -2.2471646 0.5262461 0.1521714 0.0116726 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 19.51 0.0283254 0.0414032 1.0640179 -0.1327128 0.1077549 0.0325664 0.0097314 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 29.97 0.0195375 0.0341803 1.1564504 0.1555371 0.0707063 0.0140679 0.0058868 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 39.53 0.0141413 0.0320207 1.2252708 0.2143396 0.0621233 0.0091915 0.00421 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 47.54 0.0119101 0.0271689 1.3585168 0.1904686 0.0422026 0.0073451 0.0035265 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 54.77 0.0099121 0.0256453 1.4633329 0.1743338 0.0305003 0.0060163 0.0032106 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 61.36 0.0083605 0.0267987 1.5291762 0.1459023 0.0212105 0.0048668 0.0028866 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 66.93 0.0073436 0.0256546 1.6853261 0.1276936 0.0140264 0.0043041 0.0024493 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 71.92 0.0070551 0.0263768 1.8224551 0.1076278 0.0112746 0.0039087 0.0022628 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 76.74 0.0064964 0.0241189 1.8323777 0.0931132 0.0089769 0.0035087 0.0018816 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 80.83 0.0059973 0.0242161 1.8367594 0.0810303 0.0067411 0.0032223 0.0018256 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 2 2 0.0 0.0 84.77 0.0057049 0.0238097 1.7959351 0.0702725 0.0055774 0.0030633 0.0020362 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 2 2 0.0 0.0 88.42 0.0053223 0.0223661 1.8318841 0.0568032 0.0040855 0.0028034 0.0017459 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 2 2 0.0 0.0 91.65 0.0049261 0.0228523 1.9356906 0.0486866 0.0029928 0.0026838 0.0015534 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 2 2 0.0 0.0 94.3 0.0047125 0.0231128 2.032432 0.0395026 0.0027663 0.0026719 0.0016689 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 2 2 0.0 0.0 96.63 0.0046482 0.0228971 2.1039143 0.0353622 0.0021899 0.002278 0.0014095 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 2 2 0.0 0.0 98.53 0.0040406 0.0238111 2.1897578 0.0282115 0.0018713 0.0023303 0.0013156 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 2 2 0.0 0.0 100.66 0.0042498 0.0220569 2.2510024 0.0256056 0.0015815 0.0021825 0.0013416 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 2 2 0.0 0.0 102.58 0.0040348 0.0223245 2.1764991 0.022488 0.0012774 0.0022078 0.0014483 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 2 2 0.0 0.0 104.58 0.004058 0.023404 2.1376266 0.0199918 0.0011147 0.0019584 0.0012606 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 2 2 0.0 0.0 106.18 0.0038742 0.0238793 2.0405737 0.0150821 0.0008627 0.0019763 0.0012621 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 2 2 0.0 0.0 107.25 0.0039141 0.0224823 2.1792075 0.0066425 0.0008428 0.0023691 0.0015386 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 2 2 0.0 0.0 108.59 0.0041374 0.0207143 2.3544314 0.0096387 0.0007909 0.0019722 0.0012326 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 2 2 0.0 0.0 109.95 0.0046026 0.0215394 2.3711749 -0.000296 0.0008716 0.0024621 0.0016013 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 2 2 0.0 0.0 111.09 0.0037534 0.0196739 2.3378919 0.0028921 0.000775 0.0021267 0.0014348 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 2 2 0.0 0.0 111.98 0.0037755 0.0203866 2.4735548 0.004448 0.0006659 0.0019051 0.0012414 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 2 2 0.0 0.0 112.69 0.0036455 0.0195004 2.4353215 0.0017684 0.0006875 0.0020536 0.0014174 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 2 2 0.0 0.0 113.53 0.0035025 0.0190126 2.4437708 -0.0004503 0.0005373 0.0019864 0.0012488 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 2 2 0.0 0.0 113.96 0.0036161 0.0226184 2.3739699 0.0005425 0.0007153 0.0018416 0.0013422 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 2 2 0.0 0.0 113.93 0.0035279 0.0218474 2.4074809 0.0005887 0.0005138 0.0018152 0.0010852 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 2 2 0.0 0.0 114.34 0.0034923 0.0218185 2.5083644 -0.0010531 0.0004672 0.0018177 0.0010629 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4096 2 2 0.0 0.0 114.33 0.0036447 0.0186137 2.5118585 -0.0019236 0.0004558 0.0018886 0.0011128 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4224 2 2 0.0 0.0 115.21 0.0033304 0.0184482 2.569758 -0.0032158 0.0004322 0.0019288 0.0010846 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4352 3 3 0.0 0.0 115.35 0.0040106 0.018539 2.6304065 -0.0003206 0.0004194 0.0017492 0.0010398 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4480 3 3 0.0 0.0 115.4 0.0033487 0.0174968 2.6559397 -0.00338 0.0004142 0.0018246 0.0010366 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4608 3 3 0.0 0.0 115.57 0.0040167 0.0185567 2.6248756 -0.0030998 0.0003813 0.001783 0.0010905 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4736 4 4 0.0 0.0 115.99 0.0036833 0.0176717 2.5947411 -0.0062236 0.0004322 0.0020023 0.0010917 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4864 4 4 0.0 0.0 115.84 0.0036386 0.0176662 2.5398105 -0.0029262 0.0004092 0.001876 0.0010508 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4992 4 4 0.0 0.0 115.6 0.0036848 0.017927 2.5681026 -0.0030831 0.0003928 0.001833 0.0011115 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5120 5 5 0.0 0.0 115.82 0.0044437 0.0170547 2.6174563 -0.0050514 0.0003674 0.0019576 0.0010365 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5248 5 5 0.0 0.0 115.98 0.0041743 0.0162909 2.6955271 -0.0062022 0.0003998 0.0019944 0.0010048 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5376 5 5 0.0 0.0 116.45 0.0038561 0.0164312 2.7250386 -0.0069399 0.0004283 0.0021342 0.0011867 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5504 5 5 0.0 0.0 116.5 0.0035249 0.0168515 2.8681056 -0.0022297 0.0004038 0.0018227 0.0010591 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5632 5 5 0.0 0.0 116.51 0.0034598 0.017862 3.0593926 -0.0020134 0.0003841 0.0017499 0.0010663 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5760 6 6 0.0 0.0 116.62 0.0033064 0.0164797 3.0398996 -0.0022948 0.000374 0.0017239 0.0010429 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5888 6 6 0.0 0.0 116.81 0.0036302 0.0154612 2.9617212 -0.0043987 0.0004374 0.0019238 0.0011603 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6016 6 6 0.0 0.0 116.61 0.0034313 0.0152629 2.9659419 -0.003093 0.0004367 0.001888 0.0011214 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6144 6 6 0.0 0.0 116.54 0.0036231 0.0167026 3.1700567 -0.0021588 0.0004055 0.0018171 0.0010786 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6272 6 6 0.0 0.0 116.48 0.0035518 0.0153423 3.2780672 -0.0040913 0.0003944 0.0019359 0.0009829 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
