128 0 0 0.0 0.0 12.04 0.0448453 0.0625312 0.9020751 -4.631484 2.3573508 0.3106241 0.0267098 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 22.41 0.0265345 0.0448939 1.058411 -0.2724552 0.4025801 0.0650627 0.0199804 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 31.7 0.0184857 0.0377766 1.1368237 0.3667461 0.356762 0.027204 0.0101671 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 40.51 0.0144374 0.032605 1.2954188 0.4746168 0.2860331 0.0176155 0.0082922 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 48.18 0.0114232 0.0301374 1.504613 0.401083 0.189983 0.0143392 0.0070366 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 54.93 0.0092935 0.0282963 1.617317 0.3585875 0.1155502 0.0111012 0.0053614 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 60.99 0.0081639 0.0272699 1.7221077 0.2972778 0.0872061 0.0093226 0.0046767 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 66.35 0.0072297 0.0256197 1.7752258 0.247622 0.0585708 0.0081958 0.0041369 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 71.62 0.0067152 0.0245409 1.9370303 0.2079854 0.044981 0.007472 0.0039132 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 1 1 0.0 0.0 76.15 0.0060462 0.0258738 2.0591178 0.1927646 0.0328371 0.0064069 0.0034482 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 80.39 0.0053482 0.0244399 2.0927961 0.1671675 0.0274977 0.0059216 0.0029705 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 2 2 0.0 0.0 84.45 0.005221 0.0230861 2.1245087 0.1397957 0.020626 0.0057587 0.0030621 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 2 2 0.0 0.0 87.66 0.0050797 0.0235876 2.1871501 0.1122605 0.0202793 0.0054368 0.0051068 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 2 2 0.0 0.0 90.8 0.0049809 0.0233762 2.2128077 0.0880389 0.0125702 0.0052279 0.0033733 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 2 2 0.0 0.0 93.18 0.0046091 0.0218128 2.2516715 0.0715371 0.0106039 0.0053435 0.0031209 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 2 2 0.0 0.0 95.43 0.0043915 0.0231879 2.2988393 0.0679527 0.0082189 0.0047076 0.0030564 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 2 2 0.0 0.0 97.77 0.0045874 0.0245216 2.4788119 0.0550209 0.0067958 0.0046779 0.0026134 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 2 2 0.0 0.0 99.95 0.0042269 0.0236542 2.6334293 0.0439659 0.006174 0.0046884 0.0027867 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 2 2 0.0 0.0 101.94 0.0041295 0.0223573 2.7725282 0.0380487 0.0052447 0.0046219 0.002573 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 2 2 0.0 0.0 103.71 0.0037591 0.0236523 2.8205957 0.0375479 0.0041463 0.0039789 0.0023068 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 2 2 0.0 0.0 105.05 0.0040396 0.0235975 2.8863004 0.0328658 0.0036396 0.0037571 0.0021682 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 2 2 0.0 0.0 106.57 0.0037475 0.0232503 3.0343053 0.0174699 0.0033423 0.0044374 0.0022543 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 2 2 0.0 0.0 107.92 0.0034139 0.0225992 2.9802331 0.0206783 0.0030062 0.0038329 0.0022438 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 2 2 0.0 0.0 109.56 0.0036243 0.0214356 2.8807222 0.0159169 0.0026997 0.0038553 0.0022843 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 2 2 0.0 0.0 110.89 0.0033875 0.0229102 2.8108102 0.0147963 0.0023526 0.0036251 0.0021979 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 2 2 0.0 0.0 111.69 0.0036168 0.0230993 2.9065096 0.0091971 0.0025687 0.0039182 0.002563 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 2 2 0.0 0.0 112.88 0.0035259 0.0197889 2.7346484 0.00759 0.0021399 0.0038014 0.002022 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 2 2 0.0 0.0 113.83 0.0036537 0.0215805 2.6365905 0.0062332 0.0019547 0.0035306 0.0017773 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 2 2 0.0 0.0 114.1 0.0032204 0.020404 2.6347639 0.0084858 0.0018298 0.0034452 0.0016221 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 2 2 0.0 0.0 114.71 0.0032437 0.0193616 2.5804942 0.0096387 0.0018342 0.0033223 0.0016993 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 2 2 0.0 0.0 115.0 0.0032237 0.0190273 2.6917254 0.0064308 0.0015817 0.0033091 0.0016845 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4096 2 2 0.0 0.0 115.94 0.003335 0.0195876 2.6331819 0.0042954 0.0016587 0.0035031 0.0017007 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4224 2 2 0.0 0.0 116.37 0.0032746 0.0181909 2.6879387 0.0046018 0.0015665 0.0032771 0.0015768 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4352 2 2 0.0 0.0 116.67 0.0036694 0.0181156 2.7748889 0.0018285 0.001271 0.0034337 0.0017308 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4480 2 2 0.0 0.0 116.62 0.0038869 0.0175616 2.9297937 -0.0021417 0.0013218 0.0035439 0.0016737 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4608 2 2 0.0 0.0 116.99 0.0033054 0.0171059 2.7836752 -0.0035272 0.0013141 0.00356 0.0018721 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4736 2 2 0.0 0.0 117.02 0.0030953 0.0176593 2.7376602 -0.0022557 0.0011752 0.0033776 0.0017168 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4864 2 2 0.0 0.0 116.68 0.0030857 0.0190702 2.7668592 0.0014232 0.0012308 0.0032552 0.0018754 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4992 2 2 0.0 0.0 116.86 0.0030885 0.0173565 2.6804639 0.0015321 0.0012223 0.0032062 0.0016908 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5120 2 2 0.0 0.0 117.29 0.0036234 0.0179191 2.6380094 0.0034007 0.0012835 0.0030913 0.0017637 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5248 2 2 0.0 0.0 116.95 0.0031725 0.0178917 2.6353521 -0.0089543 0.0011669 0.0036741 0.0018974 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5376 2 2 0.0 0.0 117.28 0.0030853 0.0169198 2.6761589 -0.0028265 0.0012682 0.0032884 0.0019083 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5504 2 2 0.0 0.0 117.34 0.003154 0.0160208 2.8671672 -0.0039848 0.0011558 0.0033394 0.001924 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5632 2 2 0.0 0.0 117.45 0.0033404 0.0177029 2.8871977 0.000474 0.0011875 0.0030418 0.0017765 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5760 2 2 0.0 0.0 117.07 0.0030416 0.0169738 2.8100444 -0.0165565 0.0010718 0.0039651 0.0016668 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5888 3 3 0.0 0.0 117.03 0.0029568 0.0157355 2.7959978 -0.0044353 0.0011477 0.00336 0.0017112 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6016 3 3 0.0 0.0 117.27 0.003119 0.0169608 2.7721291 -0.0003503 0.0012139 0.003121 0.0018651 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6144 3 3 0.0 0.0 117.04 0.0029078 0.0176826 2.8866668 -0.012726 0.0012744 0.0038859 0.002132 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6272 3 3 0.0 0.0 117.15 0.0028606 0.0157574 2.8655086 0.0004196 0.0012872 0.0030448 0.0019232 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6400 4 4 0.0 0.0 117.11 0.0029378 0.0164583 3.0014762 0.0011696 0.001221 0.0030009 0.0017756 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6528 4 4 0.0 0.0 117.37 0.0028507 0.0150545 2.8916927 0.0003546 0.0013289 0.003086 0.0016846 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6656 4 4 0.0 0.0 117.26 0.0031008 0.0154338 2.8122319 0.001745 0.0012227 0.0030657 0.0018164 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6784 4 4 0.0 0.0 117.44 0.0030355 0.0152227 2.8560669 -1.63e-05 0.0011399 0.0030621 0.0016481 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6912 5 5 0.0 0.0 117.53 0.0034745 0.0144476 3.0257174 0.0015752 0.0011201 0.0028917 0.0016388 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
