128 0 0 0.0 0.0 30.75 0.0756893 0.1824385 4.5892819 -13.5085626 20.7748226 0.9059966 0.0038133 0.0 66.5296184 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 0.0} 
256 0 0 0.0 0.0 30.17 0.0729921 0.1451418 2.0967774 0.5730625 2.955478 0.0904599 0.014358 0.0 79.2575716 0.0  {'room_id': 0, 'explored_rooms': 2, 'raw_score': 0.0} 
384 0 0 0.0 0.0 30.06 0.0585744 0.1020212 1.375705 1.0523497 1.2763567 0.0511827 0.0270079 0.0 88.6293515 0.0  {'room_id': 0, 'explored_rooms': 2, 'raw_score': 0.0} 
512 0 0 0.0 0.0 29.28 0.0299685 0.081218 1.4316881 1.2494704 0.9241475 0.0234718 0.0101249 0.0 91.7997481 0.0  {'room_id': 0, 'explored_rooms': 2, 'raw_score': 0.0} 
640 0 0 0.0 0.0 31.14 0.0202752 0.0715163 1.4565471 1.2467338 0.7330711 0.0134019 0.0037088 0.0 93.7012808 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 0.0} 
768 0 0 0.0 0.0 30.5 0.0159468 0.0701936 1.4307446 1.1260352 0.5768803 0.0098008 0.0025633 0.0 93.8998079 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 0.0} 
896 0 0 0.0 0.0 31.76 0.0137554 0.0666973 1.3603256 0.9869023 0.42219 0.0081987 0.001787 0.0 94.6714912 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 0.0} 
1024 0 0 0.0 0.0 37.71 0.0123238 0.0653904 1.4436867 0.8487344 0.3334243 0.0073959 0.0015538 0.0 94.604825 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 0.0} 
1152 0 0 0.0 0.0 38.98 0.0107547 0.0611474 1.4144795 0.7188627 0.2625249 0.0067115 0.0014692 0.0 95.2153263 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 0.0} 
1280 0 0 0.0 0.0 39.4 0.0106483 0.0642287 1.5809954 0.6006519 0.1827085 0.0052332 0.0012698 0.0 94.4728574 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 0.0} 
1408 0 0 0.0 0.0 39.89 0.0093211 0.0588242 1.5234704 0.5094152 0.1306512 0.005612 0.0012558 0.0 95.3561908 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 0.0} 
1536 0 0 0.0 0.0 39.4 0.0082925 0.05631 1.548991 0.4582188 0.1033289 0.0047293 0.0010865 0.0 95.807179 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 0.0} 
1664 0 0 0.0 0.0 44.28 0.0085033 0.059554 1.5196999 0.3851792 0.0694568 0.0040644 0.0010494 0.0 95.5142324 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 0.0} 
1792 0 0 0.0 0.0 46.82 0.0075861 0.0555856 1.5805267 0.3195204 0.0540694 0.0042061 0.0010939 0.0 95.6444222 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 0.0} 
1920 0 0 0.0 0.0 52.34 0.007226 0.0530611 1.4841244 0.2665497 0.0435063 0.0046951 0.0011151 0.0 96.4047404 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 0.0} 
2048 0 0 0.0 0.0 51.23 0.0064033 0.0493034 1.4507776 0.2385968 0.0350729 0.0036566 0.0009426 0.0 96.7464641 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 0.0} 
2176 0 0 0.0 0.0 51.47 0.0068862 0.0513725 1.6750886 0.2060257 0.0269002 0.0032716 0.0009847 0.0 96.4683018 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 0.0} 
2304 0 0 0.0 0.0 51.03 0.0060018 0.0478403 1.6216818 0.181832 0.0198817 0.0031791 0.0009332 0.0 96.9933418 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 0.0} 
2432 0 0 0.0 0.0 50.17 0.0060908 0.0497488 1.5092593 0.156416 0.0159129 0.0029736 0.0010112 0.0 96.3377494 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 0.0} 
2560 0 0 0.0 0.0 49.75 0.005552 0.0469969 1.646676 0.1276075 0.01032 0.0029995 0.0008975 0.0 96.8534729 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 0.0} 
2688 0 0 0.0 0.0 50.19 0.005726 0.0466537 1.6266534 0.0938248 0.0083371 0.0032541 0.0008888 0.0 96.8557855 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 0.0} 
2816 1 1 3.0 0.1 52.41 0.0059065 0.0494356 1.6119934 0.1185038 0.0133375 0.0033438 0.0007528 0.0 96.332878 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
2944 1 1 3.0 0.1 49.07 0.0058286 0.0464511 1.6962519 0.0726088 0.0063028 0.0030899 0.0008283 0.0 96.8401065 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
3072 1 1 3.0 0.1 49.49 0.0054068 0.0431167 1.7139396 0.06104 0.0042863 0.0033563 0.0011269 0.0 97.1920876 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
3200 1 1 3.0 0.1 49.41 0.005672 0.0444697 1.6650146 0.0484548 0.0052519 0.0027054 0.0009042 0.0 96.8625254 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
3328 1 1 3.0 0.1 50.0 0.005634 0.0419484 1.9192822 0.0254288 0.0041134 0.0030642 0.0009359 0.0 97.3450852 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 3.0} 
3456 1 1 3.0 0.1 50.45 0.0051081 0.0416529 1.7840266 0.0353542 0.0032237 0.0029945 0.0010106 0.0 97.1633204 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 3.0} 
3584 1 1 3.0 0.1 50.59 0.0053559 0.0402415 1.7838815 0.0124779 0.0042003 0.0029047 0.0008414 0.0 97.3478891 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 3.0} 
3712 1 1 3.0 0.1 50.05 0.0051809 0.0379316 1.967164 0.0013881 0.0064217 0.0027428 0.0008675 0.0 97.5263325 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 3.0} 
3840 1 1 3.0 0.1 51.84 0.0049489 0.038154 1.778577 0.0026923 0.0057242 0.0025099 0.0008669 0.0 97.6867983 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
3968 1 1 3.0 0.1 53.14 0.0049411 0.0367136 1.7377134 0.0060339 0.0050341 0.0025839 0.0007741 0.0 97.6647318 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
4096 1 1 3.0 0.1 51.22 0.0053904 0.0403403 1.7906945 -0.008875 0.006472 0.0024576 0.0007869 0.0 97.0521381 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
4224 1 1 3.0 0.1 52.11 0.0049144 0.041209 1.9873696 -0.0385075 0.0078508 0.0036231 0.0013028 0.0 97.0943017 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
4352 1 1 3.0 0.1 51.86 0.0049864 0.041304 1.9584848 -0.0387275 0.0124356 0.0027207 0.0010745 0.0 96.9435474 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
4480 1 1 3.0 0.1 51.3 0.0050239 0.0423598 1.8928835 -0.0438032 0.0124249 0.0028042 0.0009734 0.0 97.019053 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
4608 1 1 3.0 0.1 51.96 0.0047455 0.0397516 1.998017 -0.0578333 0.0120402 0.0026642 0.0009149 0.0 97.2424816 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
4736 1 1 3.0 0.1 52.11 0.0051718 0.0390301 2.3733577 -0.0411708 0.015564 0.0023081 0.0008416 0.0 97.5775323 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': 3.0} 
4864 1 1 3.0 0.1 52.24 0.0046207 0.0379898 2.3321386 -0.030355 0.0117194 0.0023901 0.0008132 0.0 97.7835903 0.0  {'room_id': 3, 'explored_rooms': 4, 'raw_score': 3.0} 
4992 1 1 3.0 0.1 52.25 0.0045365 0.0364945 2.1852068 -0.0307797 0.0082471 0.002633 0.0010198 0.0 97.4568097 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': 3.0} 
5120 1 1 3.0 0.1 51.64 0.0043979 0.0374176 2.3817787 -0.0230484 0.0068687 0.0022631 0.0008098 0.0 97.5409156 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': 3.0} 
5248 1 1 3.0 0.1 50.71 0.0043195 0.0370373 2.455685 -0.0238642 0.0080223 0.0022739 0.0008346 0.0 97.351744 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': 3.0} 
5376 1 1 3.0 0.1 51.97 0.004107 0.0395222 2.4187369 -0.0418858 0.0108622 0.0021017 0.0008135 0.0 97.1453319 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': 3.0} 
5504 2 2 -87.3 0.39000000000000007 54.59 0.0043537 0.037704 2.8490426 -0.0242332 0.0046286 0.002969 0.0008038 0.0 97.3309101 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': -87.3} 
