128 0 0 0.0 0.0 38.81 0.0673111 1.3016953 0.6650918 -3.3787698 1.0607455 0.2272781 0.0022698 0.0 31.3934312 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 39.25 0.0867879 1.3221714 0.509444 -0.3314744 0.4266135 0.0509332 0.061004 0.0 43.1472925 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 38.79 0.0704316 1.3010289 0.4227698 -0.6252737 0.3401106 0.0738176 0.0208139 0.0 49.7395607 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 38.7 0.1218909 1.2935425 0.4528335 0.1055605 0.3009183 0.0354083 0.0099532 0.0 59.25186 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 0 0 0.0 0.0 38.97 0.1518215 1.2740059 0.4600908 -0.2721267 0.3541309 0.0624777 0.0200448 0.0 65.8695443 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 0 0 0.0 0.0 44.76 0.1527655 1.2340764 0.4894421 -0.3644375 0.3184547 0.0729383 0.0158382 0.0 76.4222103 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 0 0 0.0 0.0 46.67 0.1615497 1.215326 0.5543726 -0.1869928 0.269214 0.0626326 0.0173061 0.0 78.7538194 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 0 0 0.0 0.0 51.35 0.191458 1.1884401 0.6144492 -0.3866128 0.2759785 0.0770575 0.0192356 0.0 83.7271243 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 0 0 0.0 0.0 50.32 0.1978135 1.1628698 0.6828401 -0.9970294 0.4999288 0.1224955 0.0229948 0.0 89.1237273 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 0 0 0.0 0.0 50.73 0.2046649 1.136985 0.7651874 -0.9381304 0.5468187 0.1253352 0.027738 0.0 92.5432617 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 0 0 0.0 0.0 49.28 0.1550274 1.1199869 0.8344934 -0.3613501 0.648165 0.0950518 0.0246714 0.0 93.3646852 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 0 0 0.0 0.0 50.65 0.2378904 1.1045333 0.9347015 -0.0410365 0.6295426 0.0786763 0.0233166 0.0 94.4790835 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 0 0 0.0 0.0 50.9 0.1315715 1.0862934 0.9286386 -0.6336706 0.9097516 0.1190092 0.029696 0.0 94.4045757 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 0 0 0.0 0.0 49.89 0.1180186 1.0640003 1.002316 0.2544645 0.7022536 0.0617739 0.0225836 0.0 95.7963219 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 0 0 0.0 0.0 49.63 0.101529 1.0596255 1.0093624 0.2656582 0.5222851 0.0571395 0.0233396 0.0 95.747718 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 0 0 0.0 0.0 49.93 0.1205323 1.05157 1.0623734 0.3173688 0.4885257 0.0507936 0.0202022 0.0 95.3684734 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 0 0 0.0 0.0 49.48 0.1123701 1.0408318 1.0863313 0.0033476 0.4858955 0.0675629 0.0211222 0.0 95.9274101 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 0 0 0.0 0.0 50.1 0.1043727 1.0304329 1.1227713 0.2677853 0.4178941 0.0491188 0.0179403 0.0 95.8951276 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 0 0 0.0 0.0 49.16 0.1128057 1.0254582 1.1507818 0.0852985 0.4118598 0.0567653 0.0187873 0.0 95.9724787 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
