128 0 0 0.0 0.0 1.69 0.2262165 0.0484858 1.3992932 -13.4340588 27.4043398 0.9095197 0.0013456 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 0 0 0.0 0.0 3.18 0.1224463 0.0394249 1.3962873 -1.2146349 4.767914 0.223579 0.0638598 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 0 0 0.0 0.0 4.52 0.0843596 0.0333286 1.4461613 0.5199478 2.8857195 0.1154931 0.0585332 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 0 0 0.0 0.0 5.74 0.064071 0.0292334 1.4278264 0.8274883 1.997491 0.0800567 0.0527656 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 0 0 0.0 0.0 6.82 0.0591137 0.0267196 1.4628918 0.8568284 1.8340675 0.0714284 0.0420221 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 1 1 0.0 0.0 7.85 0.0513849 0.0266139 1.4722278 1.5991608 4.9048737 0.0559345 0.0342907 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 1 1 0.0 0.0 8.88 0.0458542 0.0291479 1.4631727 0.7452238 1.2602556 0.0521006 0.0264727 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 1 1 0.0 0.0 10.07 0.04452 0.0207973 1.5360006 0.4849834 0.9005738 0.0581158 0.0277842 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 1 1 0.0 0.0 11.15 0.0416394 0.0215461 1.554594 0.6371113 0.9251693 0.0464521 0.0245215 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 1 1 0.0 0.0 12.11 0.0391984 0.0212605 1.5206818 0.5219506 0.8316449 0.0454053 0.0243136 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 1 1 0.0 0.0 13.07 0.0343372 0.0175659 1.5846347 0.5752725 0.8154825 0.0413477 0.0191047 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
1536 2 2 0.0 0.0 13.98 0.0313449 0.0184744 1.5608698 0.533776 0.4986755 0.0340405 0.0137414 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
