128 1 1 0.0 0.0 2.74 0.0902478 0.0748828 1.3216088 -13.1831088 29.1498918 0.9064635 9.73e-05 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 2 2 0.0 0.0 5.15 0.0204728 0.0663471 1.3560627 1.2285792 6.8337455 0.0819105 0.0084658 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 2 2 0.0 0.0 7.3 0.0108883 0.0660197 1.3922845 1.8057216 2.7665337 0.0116134 0.0031922 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 2 2 0.0 0.0 9.36 0.0081319 0.071033 1.4405478 1.4475865 1.3010785 0.0052427 0.0013766 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 2 2 0.0 0.0 11.11 0.0064359 0.0617404 1.4219876 1.1889312 0.7383124 0.0038178 0.0008344 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 2 2 0.0 0.0 12.66 0.0054621 0.0660658 1.4470047 1.1313105 0.9199651 0.0028733 0.0006151 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 2 2 0.0 0.0 14.11 0.004839 0.0634034 1.4524343 0.8307038 0.3411612 0.0028623 0.0005573 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 2 2 0.0 0.0 15.34 0.0045069 0.0617346 1.4306876 0.6786216 0.2304469 0.0025647 0.0004868 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 3 3 0.0 0.0 16.58 0.0042787 0.0632565 1.5154923 0.6074512 0.2059504 0.002224 0.0004246 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 3 3 0.0 0.0 17.56 0.0041575 0.0576395 1.5301727 0.5792434 0.2547131 0.0020935 0.0004092 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 3 3 0.0 0.0 18.51 0.0041046 0.0641005 1.606173 0.4424972 0.1266355 0.0020665 0.0004095 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1536 3 3 0.0 0.0 19.34 0.0041577 0.0588872 1.6146025 0.3467638 0.0680259 0.0020055 0.0004673 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1664 3 3 0.0 0.0 20.08 0.0045748 0.0662556 1.4931 0.2940443 0.0549691 0.0021588 0.000604 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1792 3 3 0.0 0.0 20.8 0.0049081 0.0618513 1.6677954 0.2581391 0.0569476 0.0023704 0.0007966 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1920 3 3 0.0 0.0 21.48 0.0057115 0.0590189 1.589569 0.184629 0.024219 0.0025474 0.0010937 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2048 3 3 0.0 0.0 22.02 0.0066704 0.0626156 1.4654874 0.1550951 0.0219692 0.0028926 0.001752 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
