128 0 0 0.0 0.0 2.76 0.1105016 0.0700013 1.4595072 -13.2603659 30.2606861 0.9076247 0.0006834 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 0 0 0.0 0.0 5.21 0.0240366 0.0701756 1.4237645 0.2173084 5.6778854 0.1343307 0.0251418 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 0 0 0.0 0.0 7.44 0.0125265 0.0694232 1.4173009 1.6907735 3.2354804 0.0353794 0.0195917 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 0 0 0.0 0.0 9.38 0.0103611 0.0647583 1.4979497 1.5821579 2.4320192 0.0239235 0.0132176 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 0 0 0.0 0.0 11.1 0.0075517 0.0631534 1.6438831 1.3512356 1.6770979 0.0183831 0.0105614 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 1 1 0.0 0.0 12.59 0.0064695 0.0586575 1.534981 1.3046227 1.5651011 0.0140381 0.0081293 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 1 1 0.0 0.0 13.97 0.0064018 0.0621179 1.4440645 0.996261 0.9319596 0.0131453 0.017125 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 2 2 0.0 0.0 15.23 0.0059045 0.0627415 1.4011945 0.8353211 0.6129009 0.0117824 0.0074214 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 2 2 0.0 0.0 16.33 0.0054265 0.063238 1.5781447 0.6762103 0.4198239 0.0108806 0.0023764 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 3 3 0.0 0.0 17.36 0.0059424 0.0639994 1.6344811 0.5713598 0.4060058 0.0110685 0.0098627 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 3 3 0.0 0.0 18.23 0.0050318 0.0601588 1.5551037 0.492372 0.2747286 0.0107842 0.0040506 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1536 4 4 0.0 0.0 19.09 0.0050627 0.063324 1.5922978 0.4142872 0.2056702 0.0098096 0.0037825 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1664 4 4 0.0 0.0 19.83 0.0060773 0.0677727 1.529763 0.3057439 0.1870295 0.0118455 0.0174964 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1792 4 4 0.0 0.0 20.5 0.0053343 0.0585274 1.4900225 0.229559 0.1035587 0.0115713 0.0041685 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1920 5 5 0.0 0.0 21.11 0.0059464 0.0607465 1.7317601 0.2208518 0.1047233 0.0113588 0.0111225 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2048 5 5 0.0 0.0 21.68 0.0063779 0.0610939 1.8527961 0.1829547 0.0679072 0.0111635 0.005387 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2176 6 6 0.0 0.0 22.11 0.0078925 0.066162 1.7078757 0.0811492 0.0635744 0.0144547 0.0106045 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2304 6 6 0.0 0.0 22.53 0.0092592 0.0568457 1.5190898 0.0068514 0.1057466 0.0171672 0.0229061 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2432 6 6 0.0 0.0 22.93 0.0081861 0.0600094 1.4432148 0.0656929 0.062917 0.0144961 0.014296 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2560 6 6 0.0 0.0 23.28 0.0080021 0.0549244 1.5109239 0.0360558 0.0418956 0.0151021 0.0100384 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2688 6 6 0.0 0.0 23.53 0.0070722 0.0556533 1.5167217 0.0479746 0.0414817 0.0140305 0.0085482 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2816 6 6 0.0 0.0 23.85 0.0072235 0.055218 1.7398602 0.0391081 0.0452257 0.0144374 0.0097907 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2944 7 7 0.0 0.0 24.11 0.0074836 0.0492268 1.6349678 0.0427926 0.0440272 0.0134738 0.011218 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3072 7 7 0.0 0.0 24.27 0.0075848 0.0507994 1.5646911 0.0289965 0.0371745 0.0143574 0.0076303 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3200 7 7 0.0 0.0 24.54 0.0082124 0.0506121 1.5904714 0.0274789 0.0300768 0.0128385 0.0065935 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3328 7 7 0.0 0.0 24.7 0.0061796 0.0534463 1.5788685 0.0085117 0.0314447 0.0134374 0.0088431 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3456 7 7 0.0 0.0 24.77 0.0066049 0.0572706 1.8943861 0.0128414 0.0415073 0.0128985 0.0099217 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3584 7 7 0.0 0.0 24.89 0.0056338 0.0535227 1.6810623 -0.0263825 0.0232617 0.0141312 0.0050602 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3712 8 8 0.0 0.0 25.01 0.0047489 0.0516089 1.7102409 0.0306549 0.0229998 0.010849 0.0033965 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3840 8 8 0.0 0.0 25.12 0.004509 0.04809 1.7262859 0.0552743 0.0238958 0.0089973 0.0033686 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3968 8 8 0.0 0.0 25.24 0.0046077 0.0465713 1.6140826 0.0219916 0.0197832 0.0096557 0.0036832 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4096 8 8 0.0 0.0 25.28 0.0042414 0.0496346 1.7647775 0.0144817 0.0131178 0.0094303 0.0026509 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4224 8 8 0.0 0.0 25.45 0.0045449 0.0492338 1.9188203 0.0312398 0.0173315 0.0085979 0.0045369 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4352 8 8 0.0 0.0 25.54 0.0040497 0.0456214 1.7438471 0.0330576 0.0138681 0.0079047 0.0023857 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4480 8 8 0.0 0.0 25.64 0.0042684 0.0498869 1.6666835 0.028154 0.0108086 0.0079544 0.0022676 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4608 8 8 0.0 0.0 25.81 0.0039957 0.0492163 1.5854505 -0.0057345 0.0111618 0.0097042 0.0020634 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4736 9 9 0.0 0.0 25.88 0.0039811 0.0475592 1.5728622 0.0265054 0.0137409 0.008052 0.0019847 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
