128 1 1 0.0 0.0 1.8 -1.62e-05 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 2 2 0.0 0.0 3.35 -1.4e-05 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 3 3 0.0 0.0 4.76 -1.41e-05 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 3 3 0.0 0.0 6.02 -1.51e-05 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 3 3 0.0 0.0 7.12 -1.15e-05 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 4 4 0.0 0.0 8.14 -1.33e-05 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 5 5 0.0 0.0 9.06 -1.16e-05 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 5 5 0.0 0.0 9.93 -1.31e-05 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 5 5 0.0 0.0 10.66 -9.1e-06 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 6 6 0.0 0.0 11.29 -7.4e-06 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 6 6 0.0 0.0 11.89 -8.2e-06 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
