128 0 0 0.0 0.0 2.25 0.1880503 0.0771633 1.6070656 -13.2039277 27.8162982 0.9108456 0.0019744 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 0 0 0.0 0.0 4.2 0.083006 0.060073 1.2978283 -1.8820237 7.3834842 0.292693 0.1139418 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 0 0 0.0 0.0 5.99 0.0480518 0.0506716 1.2684052 0.606888 4.2376192 0.1290743 0.079336 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 0 0 0.0 0.0 7.59 0.0329299 0.0454058 1.3353639 1.2564708 3.374451 0.0839628 0.0550312 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 0 0 0.0 0.0 9.11 0.0256671 0.0379994 1.4139671 1.4163444 2.8737346 0.0633958 0.0470384 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 1 1 0.0 0.0 11.08 0.0196261 0.0361108 1.3947577 1.6323375 3.394132 0.0459876 0.0377208 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 1 1 0.0 0.0 12.85 0.0162535 0.0342416 1.4716025 1.336127 1.9399435 0.0364182 0.0342487 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 1 1 0.0 0.0 14.5 0.0156474 0.0326026 1.4284202 1.0519721 1.4900759 0.0341822 0.0392725 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 1 1 0.0 0.0 15.92 0.0158307 0.0320974 1.3962214 0.8967681 1.3205657 0.0332069 0.0414155 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 1 1 0.0 0.0 17.13 0.0137044 0.0303674 1.4092826 0.8722779 1.0655687 0.0292705 0.028106 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 1 1 0.0 0.0 18.31 0.0107956 0.0341189 1.4409637 0.839941 0.8599283 0.0218216 0.0264083 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
