128 0 0 0.0 0.0 2.09 0.1023731 -13.139525 28.1677612 0.9261817 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 0 0 0.0 0.0 3.91 0.0525273 -11.8442509 21.0759052 0.9944397 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 1 1 0.0 0.0 5.58 0.0366033 -9.8400796 28.278098 0.9995812 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 1 1 0.0 0.0 7.07 0.0279921 -8.3375373 34.2571487 0.9999685 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 2 2 0.0 0.0 8.5 0.024093 -6.8601799 44.3645065 0.9999976 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 2 2 0.0 0.0 10.03 0.0184536 -5.7225902 58.6512047 0.9996737 0.0013964  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 2 2 0.0 0.0 11.48 0.0142597 -5.2731798 53.2851066 0.9863595 0.0593496  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 2 2 0.0 0.0 12.77 0.0104085 -4.5515997 52.9983658 0.9595474 0.1187378  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 2 2 0.0 0.0 13.94 0.0079554 -2.9081331 60.7920039 0.9041338 0.1839902  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 2 2 0.0 0.0 14.97 0.0075358 -1.96862 64.1515034 0.8513823 0.2247596  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 2 2 0.0 0.0 15.87 0.0087054 -0.6170169 91.3748811 0.8395951 0.241933  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1536 2 2 0.0 0.0 16.64 0.0093644 0.1377951 105.8618682 0.8443659 0.2455418  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1664 3 3 0.0 0.0 17.43 0.0092687 -0.1337228 101.2857331 0.8308247 0.2535751  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1792 3 3 0.0 0.0 18.1 0.0078294 -0.2260952 106.511903 0.841475 0.2550683  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1920 3 3 0.0 0.0 18.73 0.008282 -0.8336863 96.199953 0.8633755 0.2426958  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2048 3 3 0.0 0.0 19.24 0.0081337 -1.7647668 78.1235921 0.8898081 0.2225915  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2176 3 3 0.0 0.0 19.72 0.0083666 -1.2224017 101.1896591 0.8967194 0.2188625  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2304 4 4 0.0 0.0 20.16 0.0080728 -0.8316554 97.6329549 0.8661516 0.2398098  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2432 4 4 0.0 0.0 20.56 0.0060268 -0.1209155 95.8903666 0.8270235 0.2679582  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2560 5 5 0.0 0.0 20.92 0.0056298 -0.3267207 89.7658883 0.8295938 0.2675337  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2688 5 5 0.0 0.0 21.25 0.0058577 0.1532835 108.596705 0.8260292 0.2690675  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
