128 4 4 0.0 0.0 2.91 0.2056125 0.0729396 1.3254275 -10.7216341 32.7349798 0.9076804 0.0008337 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 8 8 0.0 0.0 5.49 0.1008563 0.0599731 1.2192645 2.3346125 12.4922708 0.1300298 0.0313601 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 9 9 0.0 0.0 7.67 0.0579089 0.0531982 1.2177837 2.1297238 5.600367 0.0421549 0.0243463 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 11 11 0.0 0.0 9.59 0.0357669 0.0518415 1.2118511 1.410961 2.5981796 0.0212943 0.0152691 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 12 12 0.0 0.0 11.32 0.0234385 0.0599989 1.2864093 0.9697561 1.1244762 0.011937 0.0086317 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 12 12 0.0 0.0 12.96 0.015414 0.0571778 1.244159 0.6764113 0.5568079 0.009006 0.0078278 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 12 12 0.0 0.0 14.34 0.0108886 0.0601064 1.233394 0.5479139 0.2527964 0.0057943 0.0064029 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 12 12 0.0 0.0 15.58 0.007462 0.0650277 1.2703539 0.4690721 0.1406017 0.0039948 0.0052459 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 12 12 0.0 0.0 16.8 0.006238 0.0630769 1.2686424 0.3901295 0.0854917 0.0032136 0.0046905 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 12 12 0.0 0.0 17.88 0.0055084 0.0678967 1.3380874 0.3336666 0.0568384 0.0027808 0.0043624 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 12 12 0.0 0.0 18.87 0.0050948 0.0664383 1.3364721 0.2918567 0.0519588 0.0028332 0.0040502 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1536 13 13 0.0 0.0 19.79 0.0047013 0.066495 1.3365172 0.2669082 0.0537843 0.0024843 0.0035723 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1664 13 13 0.0 0.0 20.64 0.0051159 0.0601175 1.3462863 0.2297574 0.0426656 0.0025484 0.0037252 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1792 13 13 0.0 0.0 21.32 0.0045638 0.059742 1.3424776 0.1884834 0.0320653 0.0026202 0.0037448 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1920 13 13 0.0 0.0 21.89 0.0041395 0.0637793 1.3927895 0.146082 0.0166137 0.0020428 0.0031159 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2048 13 13 0.0 0.0 22.44 0.0039873 0.058676 1.4005285 0.1140359 0.009863 0.0020087 0.0029606 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2176 13 13 0.0 0.0 23.02 0.0048945 0.0512511 1.4398992 0.0943947 0.0094302 0.0026543 0.0041069 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2304 13 13 0.0 0.0 23.5 0.0048362 0.0520734 1.3985682 0.0751364 0.0071112 0.0026601 0.0032656 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2432 13 13 0.0 0.0 23.96 0.0039178 0.0548519 1.4789899 0.064764 0.0052042 0.0022051 0.0029311 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2560 14 14 0.0 0.0 24.32 0.0044252 0.0482713 1.4374271 0.0551517 0.0049594 0.0023273 0.0033634 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2688 15 15 0.0 0.0 24.66 0.0050547 0.0431139 1.3452691 0.0487452 0.0057494 0.0028128 0.0039774 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2816 15 15 0.0 0.0 24.9 0.0051016 0.0402828 1.285397 0.0446185 0.0049754 0.002878 0.0037387 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2944 15 15 0.0 0.0 25.04 0.0049589 0.0409288 1.3721385 0.0326769 0.0033945 0.002574 0.0033381 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3072 15 15 0.0 0.0 25.24 0.0046605 0.0406516 1.4244813 0.0248055 0.0025053 0.0025143 0.0031962 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3200 15 15 0.0 0.0 25.41 0.0045638 0.0385416 1.4018379 0.0187975 0.002603 0.0028227 0.0031314 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
