128 7 7 0.0 0.0 2.03 0.0887333 -10.4064595 31.5309391 0.9261817 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 10 10 0.0 0.0 3.79 0.0478312 -9.042767 42.7013099 0.9944397 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 12 12 0.0 0.0 5.36 0.0259865 -8.6834355 48.6052619 0.9990437 0.0015413  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 12 12 0.0 0.0 6.73 0.0144278 -8.012795 47.4599144 0.952039 0.0973769  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 12 12 0.0 0.0 8.03 0.0073597 -5.537781 32.3848859 0.801836 0.3023845  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 12 12 0.0 0.0 9.26 0.0046418 -2.733491 28.8957484 0.6363949 0.3622761  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 13 13 0.0 0.0 10.86 0.0042509 -1.0075507 28.0943591 0.5458894 0.3671288  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 13 13 0.0 0.0 12.27 0.004853 -1.1762598 33.1028612 0.5574721 0.3889297  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 13 13 0.0 0.0 13.56 0.0049601 -0.487536 45.8034658 0.5491564 0.3962243  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 14 14 0.0 0.0 14.71 0.0065484 0.3955149 80.2455625 0.6293788 0.3915095  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 14 14 0.0 0.0 15.75 0.0070441 0.2523418 91.3036861 0.6634627 0.3740548  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1536 14 14 0.0 0.0 16.68 0.006942 0.4837406 87.1586052 0.6576484 0.3696276  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1664 14 14 0.0 0.0 17.48 0.0048857 -0.7813709 49.5902716 0.5894831 0.3810663  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1792 14 14 0.0 0.0 18.18 0.0049867 0.0054506 61.7496884 0.5822167 0.3860881  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1920 14 14 0.0 0.0 18.79 0.0049013 -0.0506961 57.6080062 0.5780696 0.3828857  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2048 14 14 0.0 0.0 19.36 0.0044542 -0.3115597 50.6532871 0.5559825 0.379573  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2176 14 14 0.0 0.0 19.83 0.0044191 0.3146256 55.6383264 0.5405027 0.3795965  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2304 15 15 0.0 0.0 20.25 0.0036106 0.5970892 54.6099653 0.4974167 0.3716357  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2432 15 15 0.0 0.0 20.62 0.0030749 0.7924219 46.8662815 0.4591402 0.369333  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2560 15 15 0.0 0.0 20.94 0.003148 1.3807299 49.8244823 0.4496969 0.3639829  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2688 15 15 0.0 0.0 21.21 0.0033796 1.4490752 56.9093142 0.4794192 0.3684528  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2816 15 15 0.0 0.0 21.48 0.0029689 1.3411835 48.2311328 0.4467541 0.3532188  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2944 18 18 0.0 0.0 21.72 0.0026091 1.3269756 43.781392 0.418215 0.3466007  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3072 18 18 0.0 0.0 21.93 0.0026726 1.6663407 50.5312867 0.4308012 0.3527098  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3200 18 18 0.0 0.0 22.1 0.0027238 1.0938106 43.393945 0.4152223 0.3422935  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3328 18 18 0.0 0.0 22.22 0.0019497 1.0134416 29.0538669 0.3528427 0.3179498  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3456 19 19 0.0 0.0 22.33 0.0019771 1.2605386 32.3977137 0.3517718 0.3281739  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3584 19 19 0.0 0.0 22.44 0.0024206 1.2770452 40.3950702 0.3930594 0.3408941  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3712 19 19 0.0 0.0 22.49 0.0026037 1.4774493 47.3225294 0.3979491 0.3371491  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3840 20 20 0.0 0.0 22.52 0.0021354 1.0420663 34.1681093 0.3625997 0.3190432  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3968 20 20 0.0 0.0 22.58 0.0018755 0.6857771 26.331379 0.3466092 0.3043946  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
4096 20 20 0.0 0.0 22.66 0.0019522 1.2240571 33.08564 0.3583603 0.320829  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
4224 23 23 0.0 0.0 22.69 0.0020049 1.1677952 34.8138267 0.3572015 0.315897  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
4352 24 24 0.0 0.0 22.7 0.0018894 1.1515954 31.8302635 0.3435513 0.3157323  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
4480 24 24 0.0 0.0 22.74 0.0016704 0.7673532 21.0850868 0.3060055 0.2994276  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
4608 24 24 0.0 0.0 22.69 0.0016263 0.7578234 20.4642678 0.2915132 0.2915012  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
4736 24 24 0.0 0.0 22.68 0.0014837 0.5204813 19.5138853 0.2909117 0.2905994  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
4864 24 24 0.0 0.0 22.69 0.0018244 0.6697908 23.9563463 0.3028039 0.2996326  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
4992 24 24 0.0 0.0 22.66 0.0017243 0.2367005 20.9444809 0.3220928 0.3034296  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
5120 24 24 0.0 0.0 22.67 0.0020451 0.176303 27.1912367 0.36687 0.3194858  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
5248 24 24 0.0 0.0 22.68 0.0019107 -0.0186689 26.7508622 0.3629547 0.3169349  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
5376 26 26 0.0 0.0 22.72 0.0018386 -0.1438573 23.5680435 0.3520404 0.3072756  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
5504 28 28 0.0 0.0 22.8 0.0016267 -0.3284394 20.7732664 0.3445869 0.2968819  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
5632 28 28 0.0 0.0 22.83 0.0014887 -0.1665488 19.5861824 0.3074925 0.2787455  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
5760 28 28 0.0 0.0 22.9 0.0015188 -0.6784397 16.3338224 0.3271503 0.2825094  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
5888 28 28 0.0 0.0 22.98 0.0015981 -0.8683424 15.404847 0.3379899 0.2868525  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
6016 28 28 0.0 0.0 23.06 0.0014867 -0.7218648 15.2690128 0.3311642 0.2660078  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
6144 28 28 0.0 0.0 23.14 0.0015371 -0.8184235 14.7399532 0.3360365 0.2756692  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
6272 28 28 0.0 0.0 23.22 0.0015746 -0.5938505 18.6694691 0.3461087 0.2810793  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
6400 28 28 0.0 0.0 23.31 0.0015892 -0.294018 22.0662959 0.3561141 0.2784549  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
6528 29 29 0.0 0.0 23.35 0.0015536 -0.6714968 18.2504591 0.3524216 0.2701124  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
6656 29 29 0.0 0.0 23.42 0.0015098 -0.4390859 17.4355232 0.3428918 0.2625752  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
6784 29 29 0.0 0.0 23.47 0.0016045 -0.3117933 25.3410526 0.3796013 0.2733978  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
6912 30 30 0.0 0.0 23.46 0.0015373 -0.3653976 23.2257817 0.3604325 0.2634087  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
7040 30 30 0.0 0.0 23.49 0.0014437 0.0326324 21.915298 0.3360004 0.2525912  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
7168 30 30 0.0 0.0 23.52 0.0013287 -0.1639748 14.2370113 0.3145886 0.2379311  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
7296 31 31 0.0 0.0 23.56 0.0013163 0.2347262 16.7016528 0.3039246 0.2373488  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
7424 32 32 0.0 0.0 23.55 0.0011641 0.2227047 11.8081691 0.2781799 0.2209556  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
7552 32 32 0.0 0.0 23.57 0.001193 0.0377312 10.8485904 0.2830458 0.2235782  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
7680 32 32 0.0 0.0 23.59 0.0011976 0.1687185 12.1710098 0.2784641 0.2259908  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
